Format: index, leftIndex, rightIndex, class - uX, uY, vX, vY, thresh - Score
486, 630, 631, -1 - 27, -24, 29, 22, 50.083926 - 0.263519
487, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
488, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
489, 632, 633, -1 - -29, -10, -13, -33, -17.813654 - 0.863121
490, 0, 0, 7 - 0, 0, 0, 0, 0.000000 - 0.000000
491, 634, 635, -1 - -6, 51, 20, 30, -29.831843 - 0.391244
492, 0, 0, 8 - 0, 0, 0, 0, 0.000000 - 0.000000
493, 636, 637, -1 - 18, -9, -13, 1, -72.283090 - 0.721928
494, 0, 0, 8 - 0, 0, 0, 0, 0.000000 - 0.000000
495, 638, 639, -1 - 20, 32, -8, -2, -50.315867 - 0.918296
496, 640, 641, -1 - 7, -1, 10, 35, 1.406903 - 0.407468
497, 642, 643, -1 - 6, 12, 25, 21, 70.647298 - 0.059883
498, 0, 0, 8 - 0, 0, 0, 0, 0.000000 - 0.000000
499, 0, 0, 9 - 0, 0, 0, 0, 0.000000 - 0.000000
500, 0, 0, 12 - 0, 0, 0, 0, 0.000000 - 0.000000
501, 0, 0, 13 - 0, 0, 0, 0, 0.000000 - 0.000000
502, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
503, 644, 645, -1 - 0, -55, 46, -35, -85.839412 - 0.994030
504, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
505, 646, 647, -1 - -16, -1, 0, -37, -82.311472 - 0.359102
506, 648, 649, -1 - 0, 0, 49, -24, -40.684225 - 1.000000
507, 0, 0, 6 - 0, 0, 0, 0, 0.000000 - 0.000000
508, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
509, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
510, 0, 0, 6 - 0, 0, 0, 0, 0.000000 - 0.000000
511, 650, 651, -1 - -9, -19, -14, -52, -98.876919 - 0.144902
512, 0, 0, 3 - 0, 0, 0, 0, 0.000000 - 0.000000
513, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
514, 0, 0, 6 - 0, 0, 0, 0, 0.000000 - 0.000000
515, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
516, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
517, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
518, 652, 653, -1 - 54, 4, 8, 29, -48.265023 - 0.150920
519, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
520, 0, 0, 19 - 0, 0, 0, 0, 0.000000 - 0.000000
521, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
522, 0, 0, 19 - 0, 0, 0, 0, 0.000000 - 0.000000
523, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
524, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
525, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
526, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
527, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
528, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
529, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
530, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
531, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
532, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
533, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
534, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
535, 654, 655, -1 - -1, 26, -27, 26, 66.222114 - 0.020315
536, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
537, 656, 657, -1 - 12, 15, 56, -10, -18.521683 - 0.918296
538, 658, 659, -1 - -32, 22, -1, 23, 69.286172 - 0.721928
539, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
540, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
541, 660, 661, -1 - 3, -27, 52, 2, -10.397656 - 0.345117
542, 662, 663, -1 - 11, -42, 6, 13, 75.206763 - 0.099060
543, 664, 665, -1 - 12, -47, 1, 12, -37.388226 - 0.002995
544, 666, 667, -1 - 3, 7, 19, 14, -1.077303 - 0.111690
545, 668, 669, -1 - 40, -19, -27, -30, 99.029511 - 0.179834
546, 670, 671, -1 - -3, -21, 0, 16, -26.841029 - 0.650022
547, 672, 673, -1 - -27, -4, -3, 0, -35.935545 - 0.105927
548, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
549, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
550, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
551, 674, 675, -1 - 59, -6, 3, 45, 77.538377 - 0.890492
552, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
553, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
554, 676, 677, -1 - 36, -9, 51, -12, -33.829768 - 0.385973
555, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
556, 678, 679, -1 - 48, -18, -2, 6, 61.882382 - 0.530848
557, 680, 681, -1 - 47, -23, 26, -16, -56.865139 - 0.067000
558, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
559, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
560, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
561, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
562, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
563, 682, 683, -1 - 50, -30, 12, -58, -25.333415 - 0.272844
564, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
565, 0, 0, 21 - 0, 0, 0, 0, 0.000000 - 0.000000
566, 0, 0, 17 - 0, 0, 0, 0, 0.000000 - 0.000000
567, 0, 0, 19 - 0, 0, 0, 0, 0.000000 - 0.000000
568, 0, 0, 20 - 0, 0, 0, 0, 0.000000 - 0.000000
569, 0, 0, 21 - 0, 0, 0, 0, 0.000000 - 0.000000
570, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
571, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
572, 684, 685, -1 - -12, -3, -22, 1, 32.963042 - 0.317390
573, 686, 687, -1 - 29, 42, -49, 17, 79.271828 - 0.216397
574, 688, 689, -1 - -29, -10, -13, -33, -17.813654 - 0.337290
575, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
576, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
577, 690, 691, -1 - 21, -22, 14, 53, -79.308451 - 0.004496
578, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
579, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
580, 0, 0, 17 - 0, 0, 0, 0, 0.000000 - 0.000000
581, 0, 0, 16 - 0, 0, 0, 0, 0.000000 - 0.000000
582, 692, 693, -1 - 0, -28, -50, -11, -8.206427 - 0.543564
583, 694, 695, -1 - -46, 6, 8, 24, 44.364757 - 0.468996
584, 696, 697, -1 - 18, -9, -13, 1, -72.283090 - 1.000000
585, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
586, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
587, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
588, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
589, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
590, 698, 699, -1 - 22, 2, -2, -11, 27.988525 - 0.001065
591, 700, 701, -1 - 16, -13, -1, 38, -89.794610 - 0.918296
592, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
593, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
594, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
595, 0, 0, 19 - 0, 0, 0, 0, 0.000000 - 0.000000
596, 0, 0, 16 - 0, 0, 0, 0, 0.000000 - 0.000000
597, 702, 703, -1 - 0, -55, 46, -35, -85.839412 - 0.918296
598, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
599, 704, 705, -1 - 53, 22, -37, -33, 33.323160 - 0.439497
600, 0, 0, 17 - 0, 0, 0, 0, 0.000000 - 0.000000
601, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
602, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
603, 706, 707, -1 - -10, -47, 10, -1, -92.162847 - 0.019416
604, 0, 0, 16 - 0, 0, 0, 0, 0.000000 - 0.000000
605, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
606, 708, 709, -1 - -10, -9, -10, -29, 29.929502 - 0.003223
607, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
608, 0, 0, 17 - 0, 0, 0, 0, 0.000000 - 0.000000
609, 0, 0, 16 - 0, 0, 0, 0, 0.000000 - 0.000000
610, 0, 0, 19 - 0, 0, 0, 0, 0.000000 - 0.000000
611, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
612, 710, 711, -1 - 0, 0, 49, -24, -40.684225 - 0.995727
613, 0, 0, 19 - 0, 0, 0, 0, 0.000000 - 0.000000
614, 712, 713, -1 - 12, 15, 56, -10, -18.521683 - 0.985228
615, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
616, 714, 715, -1 - 17, -1, 1, 1, 48.844874 - 0.144900
617, 716, 717, -1 - -3, -12, 34, -36, -48.735008 - 0.089703
618, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
619, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
620, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
621, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
622, 0, 0, 19 - 0, 0, 0, 0, 0.000000 - 0.000000
623, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
624, 0, 0, 20 - 0, 0, 0, 0, 0.000000 - 0.000000
625, 718, 719, -1 - 17, -1, 1, 1, 48.844874 - 0.135036
626, 0, 0, 16 - 0, 0, 0, 0, 0.000000 - 0.000000
627, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
628, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
629, 0, 0, 17 - 0, 0, 0, 0, 0.000000 - 0.000000
630, 720, 721, -1 - 15, 27, 15, 8, 20.499283 - 0.168661
631, 722, 723, -1 - -5, -42, -51, 21, -91.228980 - 0.979869
632, 724, 725, -1 - -28, 25, 34, -11, -44.877468 - 1.000000
633, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
634, 0, 0, 7 - 0, 0, 0, 0, 0.000000 - 0.000000
635, 0, 0, 8 - 0, 0, 0, 0, 0.000000 - 0.000000
636, 0, 0, 7 - 0, 0, 0, 0, 0.000000 - 0.000000
637, 0, 0, 8 - 0, 0, 0, 0, 0.000000 - 0.000000
638, 0, 0, 5 - 0, 0, 0, 0, 0.000000 - 0.000000
639, 0, 0, 9 - 0, 0, 0, 0, 0.000000 - 0.000000
640, 726, 727, -1 - 10, 9, 5, 6, 99.450667 - 0.439497
641, 0, 0, 9 - 0, 0, 0, 0, 0.000000 - 0.000000
642, 728, 729, -1 - 0, 0, -23, 30, 56.016724 - 0.060334
643, 0, 0, 8 - 0, 0, 0, 0, 0.000000 - 0.000000
644, 0, 0, 17 - 0, 0, 0, 0, 0.000000 - 0.000000
645, 730, 731, -1 - 17, -1, 1, 1, 48.844874 - 0.970951
646, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
647, 732, 733, -1 - 54, 18, 45, 4, 50.401318 - 0.918296
648, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
649, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
650, 734, 735, -1 - 5, -2, -24, 27, 4.519791 - 0.985228
651, 736, 737, -1 - -22, -42, -39, 7, -70.482498 - 0.103844
652, 738, 739, -1 - 1, 0, 27, -22, -29.233680 - 0.113274
653, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
654, 740, 741, -1 - 50, 27, 4, -2, 38.639485 - 0.012920
655, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
656, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
657, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
658, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
659, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
660, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
661, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
662, 742, 743, -1 - -24, -2, 1, 16, -47.734001 - 0.310601
663, 744, 745, -1 - 12, -35, 21, 27, -62.504959 - 0.032017
664, 746, 747, -1 - -39, -38, -4, 10, 2.310251 - 0.090544
665, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
666, 748, 749, -1 - 5, -47, -3, 33, -73.796808 - 0.387541
667, 750, 751, -1 - 12, -56, -6, 25, -50.059511 - 0.036497
668, 752, 753, -1 - 28, 8, -17, -3, -83.159886 - 0.112224
669, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
670, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
671, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
672, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
673, 754, 755, -1 - -29, 13, -2, 9, 71.507920 - 0.030006
674, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
675, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
676, 756, 757, -1 - 12, 15, 56, -10, -18.521683 - 0.406715
677, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
678, 758, 759, -1 - 0, -19, 9, -17, 5.136265 - 0.585676
679, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
680, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
681, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
682, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
683, 760, 761, -1 - 20, 32, -8, -2, -50.315867 - 0.918296
684, 762, 763, -1 - -31, -48, -26, 9, 54.142888 - 0.402991
685, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
686, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
687, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
688, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
689, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
690, 764, 765, -1 - -26, -12, 20, 27, 84.356212 - 0.591673
691, 0, 0, 12 - 0, 0, 0, 0, 0.000000 - 0.000000
692, 0, 0, 16 - 0, 0, 0, 0, 0.000000 - 0.000000
693, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
694, 0, 0, 16 - 0, 0, 0, 0, 0.000000 - 0.000000
695, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
696, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
697, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
698, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
699, 766, 767, -1 - 0, -55, 46, -35, -85.839412 - 0.413817
700, 0, 0, 19 - 0, 0, 0, 0, 0.000000 - 0.000000
701, 0, 0, 12 - 0, 0, 0, 0, 0.000000 - 0.000000
702, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
703, 0, 0, 19 - 0, 0, 0, 0, 0.000000 - 0.000000
704, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
705, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
706, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
707, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
708, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
709, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
710, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
711, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
712, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
713, 768, 769, -1 - 18, -9, -13, 1, -72.283090 - 0.918296
714, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
715, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
716, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
717, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
718, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
719, 0, 0, 21 - 0, 0, 0, 0, 0.000000 - 0.000000
720, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
721, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
722, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
723, 0, 0, 14 - 0, 0, 0, 0, 0.000000 - 0.000000
724, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
725, 0, 0, 16 - 0, 0, 0, 0, 0.000000 - 0.000000
726, 0, 0, 8 - 0, 0, 0, 0, 0.000000 - 0.000000
727, 0, 0, 9 - 0, 0, 0, 0, 0.000000 - 0.000000
728, 0, 0, 9 - 0, 0, 0, 0, 0.000000 - 0.000000
729, 770, 771, -1 - 12, 15, 56, -10, -18.521683 - 1.000000
730, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
731, 0, 0, 13 - 0, 0, 0, 0, 0.000000 - 0.000000
732, 0, 0, 6 - 0, 0, 0, 0, 0.000000 - 0.000000
733, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
734, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
735, 0, 0, 6 - 0, 0, 0, 0, 0.000000 - 0.000000
736, 0, 0, 7 - 0, 0, 0, 0, 0.000000 - 0.000000
737, 0, 0, 6 - 0, 0, 0, 0, 0.000000 - 0.000000
738, 0, 0, 18 - 0, 0, 0, 0, 0.000000 - 0.000000
739, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
740, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
741, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
742, 772, 773, -1 - -24, -14, 27, -29, 0.369274 - 0.306299
743, 774, 775, -1 - -50, 6, -2, 13, 55.485702 - 0.328370
744, 776, 777, -1 - -2, -38, 4, 17, 7.406842 - 0.061481
745, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
746, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
747, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
748, 778, 779, -1 - 3, -4, 50, -30, -1.779229 - 0.650022
749, 780, 781, -1 - 56, -18, -21, -18, -2.127140 - 0.143200
750, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
751, 782, 783, -1 - -12, -37, 0, -1, -70.879238 - 0.041240
752, 784, 785, -1 - 0, -43, -15, -45, -88.470107 - 0.918296
753, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
754, 786, 787, -1 - 4, -55, 45, 17, 51.853999 - 0.204154
755, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
756, 788, 789, -1 - -10, 27, 15, -13, -35.160375 - 0.764204
757, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
758, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
759, 790, 791, -1 - 38, 45, 2, -15, -8.987701 - 0.721928
760, 0, 0, 1 - 0, 0, 0, 0, 0.000000 - 0.000000
761, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
762, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
763, 792, 793, -1 - 0, 6, 6, 7, -49.992370 - 0.721928
764, 0, 0, 12 - 0, 0, 0, 0, 0.000000 - 0.000000
765, 0, 0, 11 - 0, 0, 0, 0, 0.000000 - 0.000000
766, 0, 0, 10 - 0, 0, 0, 0, 0.000000 - 0.000000
767, 0, 0, 2 - 0, 0, 0, 0, 0.000000 - 0.000000
768, 0, 0, 16 - 0, 0, 0, 0, 0.000000 - 0.000000
769, 0, 0, 15 - 0, 0, 0, 0, 0.000000 - 0.000000
770, 0, 0, 9 - 0, 0, 0, 0, 0.000000 - 0.000000
771, 0, 0, 8 - 0, 0, 0, 0, 0.000000 - 0.000000
