4000
18	-9	-13	1	-72.283090
-32	22	-1	23	69.286172
38	45	2	-15	-8.987701
0	-55	46	-35	-85.839412
17	-1	1	1	48.844874
0	0	49	-24	-40.684225
-29	-10	-13	-33	-17.813654
12	15	56	-10	-18.521683
-58	-5	-9	-5	14.590899
-22	-28	-17	5	-2.255318
-28	25	34	-11	-44.877468
-44	-6	-24	0	33.817560
46	-6	25	-31	-34.916227
-5	-9	-8	52	74.584185
20	32	-8	-2	-50.315867
54	18	45	4	50.401318
0	0	-23	30	56.016724
32	33	-26	44	-46.549883
0	-28	-50	-11	-8.206427
16	-13	-1	38	-89.794610
-56	-11	48	-6	90.746788
22	-21	-29	-34	83.318583
-10	27	15	-13	-35.160375
0	-23	-7	8	64.030885
17	-1	1	-10	-73.668630
4	0	-7	23	-30.027161
12	-22	-3	-4	58.079775
1	-8	0	12	6.967376
12	37	-47	-5	-15.408795
-44	-28	-21	7	13.608203
-3	-21	0	16	-26.841029
31	27	-16	-8	-92.437513
10	9	5	6	99.450667
35	-12	-16	-37	18.570513
-6	51	20	30	-29.831843
13	-28	-2	0	49.827570
-8	-46	-36	5	31.919309
9	31	-45	16	81.670583
-15	5	21	36	-65.654469
-46	6	8	24	44.364757
32	-1	29	14	83.922849
19	-14	52	3	65.269936
10	-4	6	2	-55.247658
-2	6	-37	-28	64.952544
-57	14	-12	-25	-57.866146
28	-25	-50	9	-38.651692
1	-5	-3	-15	-73.821223
11	0	-5	-10	66.710410
54	23	2	3	-16.806543
-18	14	-28	27	-47.129734
-15	-22	-18	49	65.446944
36	30	-26	32	42.197943
-30	10	3	18	-28.531755
2	7	-17	7	78.661458
37	-28	22	-34	-26.554155
0	16	-18	-2	71.605579
-6	15	8	17	-19.309061
-20	11	35	-10	-91.998047
-13	-13	-9	1	74.169134
15	-14	-3	8	23.398541
15	5	-36	-16	70.610675
28	-6	-30	32	-68.669698
45	-12	6	12	1.834162
11	-3	-45	10	61.540574
0	6	6	7	-49.992370
2	33	-12	-11	73.119297
-44	19	16	-30	87.597278
-3	39	-36	30	15.646840
-18	41	2	28	-42.667928
53	22	-37	-33	33.323160
28	8	-17	-3	-83.159886
-6	-28	0	0	-29.728080
-16	-15	-3	-3	-9.939879
-13	19	-21	-55	63.560900
-10	-32	18	45	38.535722
-7	34	8	14	-70.427564
11	-24	4	6	-85.778375
-26	-12	20	27	84.356212
-49	-28	54	10	7.681509
8	1	8	11	-86.370434
-21	8	45	19	85.235145
-25	-18	6	-9	-50.425733
-28	46	-7	15	42.326121
16	-21	-44	6	-57.359539
0	3	-30	-17	-88.732566
4	-5	48	3	-35.544908
-26	19	16	-43	76.189459
-15	27	-39	33	65.276040
16	7	-1	0	90.533158
0	0	21	12	63.347270
-10	2	55	14	88.274789
-7	5	42	13	87.408063
0	0	-1	-35	53.544725
15	-10	28	-22	-46.519364
-53	14	-42	27	90.722373
18	36	11	6	-42.527543
-35	-20	-4	-4	41.770684
12	8	43	-35	31.028169
12	-7	8	-21	56.028932
-35	-41	-9	52	64.799951
0	5	6	0	-46.140934
-12	-31	4	-9	-24.362926
23	51	3	-41	-34.922330
-29	-12	1	0	6.912442
6	-2	-7	-3	-9.323405
-28	28	-57	15	29.776910
-39	42	36	27	57.011628
-30	21	8	11	82.433546
-7	0	-30	-37	30.430006
-1	-54	22	-10	69.042024
-42	28	8	-23	62.401196
-17	16	28	-7	65.440840
-2	-2	34	-46	-34.891812
46	-18	31	18	69.780572
33	49	-3	10	-99.194311
-17	-48	0	2	-82.146672
-22	-42	-39	7	-70.482498
15	-49	-4	0	80.205695
33	-6	-1	-4	24.076052
24	-6	0	1	-4.129154
3	40	14	-14	54.155095
5	18	-3	-6	-98.718223
-21	-18	-8	55	86.577960
8	-25	20	6	6.851405
-7	43	-2	-45	73.100986
-6	-3	28	-17	-16.379284
49	-27	0	-3	-76.360363
4	-23	22	-25	72.777490
34	42	11	-13	18.320261
8	6	-14	14	-53.361614
3	4	-1	0	-80.535295
-44	-9	8	-4	-43.296609
-11	25	6	-1	-68.504898
-16	-43	20	-9	26.255074
-11	20	-5	-32	-54.307688
-5	23	3	28	8.236946
-28	30	-23	23	24.686422
37	45	-3	8	57.322916
1	-5	41	-20	-48.002564
-22	-24	3	-6	84.496597
-8	43	20	37	21.073031
-4	-15	9	-1	97.094638
5	-28	-2	19	-10.196234
20	-52	-14	5	2.645955
0	-7	-4	4	-92.956328
-29	19	-2	0	95.953246
-18	-17	-17	22	-49.491867
1	25	-11	-57	-19.626453
-15	-48	35	-16	26.859340
-5	52	-21	-6	-78.344066
-33	17	-15	19	-0.601215
-22	-34	-37	1	20.480972
-11	-55	43	31	-48.912015
16	-18	-5	-57	-56.651509
-9	0	-18	-2	-13.486129
-55	-20	7	35	95.849483
-1	4	18	-13	50.218207
-42	28	18	-29	81.572924
0	-1	1	-3	15.701773
0	1	24	3	91.082492
5	-2	-24	27	4.519791
-14	-22	0	0	-69.444868
-18	-48	-2	-19	53.147984
-30	-15	-29	20	-42.960906
10	-16	2	0	-18.491165
12	-4	-19	13	59.050264
-26	-32	17	44	-43.394269
-3	18	-26	-33	-87.755974
-35	-26	-4	37	95.861690
9	-1	6	26	6.558428
