4000
25	39	-6	-5
-44	-14	38	-3
-47	-3	-46	-26
-18	-26	4	17
22	-26	30	0
-9	-4	21	0
18	-9	17	22
30	25	16	15
-25	28	8	0
33	-14	27	25
-34	-28	10	-21
0	0	16	-2
25	-48	-25	-32
-1	-43	-8	-28
3	0	44	30
-28	13	17	52
8	7	1	44
15	45	39	44
-21	-4	-39	-23
-28	45	42	7
-16	9	0	0
7	57	-12	7
-21	40	-5	-22
-38	8	30	38
11	-8	1	25
7	9	12	-36
-4	-35	-16	54
-1	19	-1	8
-1	9	-4	-10
6	33	-52	25
28	0	11	31
-30	1	23	-25
-41	0	-3	0
-11	13	24	-12
26	-17	17	-9
1	-2	0	-1
-23	51	18	0
-15	-48	0	0
-15	16	-3	30
-9	-3	-17	31
37	-9	38	-42
1	10	-5	10
22	10	37	-12
30	8	28	30
-2	-19	-24	44
-40	20	-18	-25
41	23	13	40
-24	0	-10	0
-15	-14	48	0
31	-27	22	-17
-44	-21	-8	-24
8	-1	-41	10
51	-19	-32	-21
12	4	0	-1
34	-16	-26	18
10	7	34	-26
-2	16	-53	-2
0	-51	11	-14
37	-16	-16	15
11	-18	-3	-13
-33	-16	-5	23
-17	1	-13	42
5	54	41	21
-10	45	7	9
-19	-36	-7	7
-25	15	0	36
-4	6	5	-3
-41	23	15	38
31	-36	-20	-27
-47	-32	-46	-31
-31	33	5	-9
31	-29	-39	-33
-2	2	-8	-5
16	8	-4	4
15	-41	-27	8
-1	1	1	-20
40	-11	11	33
10	-2	50	23
0	-1	-38	-44
30	-33	4	1
-18	55	-1	-2
7	-51	39	-22
18	-32	3	49
30	19	-6	0
2	-7	12	-14
30	16	-24	-27
-18	32	-5	-19
9	9	-40	17
31	23	0	1
20	21	20	0
-8	21	-2	-7
21	4	37	-4
-1	-19	33	20
-51	12	-41	10
41	-6	0	-21
-52	1	22	-51
0	-25	-43	-7
-13	-4	11	-31
-36	31	19	-38
-49	25	-2	-25
-28	34	34	-43
-21	13	-1	-53
35	9	37	1
-3	-2	-5	38
-47	-3	-4	10
4	46	-1	0
-46	-6	16	10
-4	27	-38	44
-50	-23	-24	-44
12	0	-6	-41
38	33	0	3
26	-45	43	-21
20	-14	29	-37
14	20	-13	-1
-21	9	-6	-2
-38	36	-37	-2
-37	-7	-29	-15
40	36	-18	-29
-44	38	11	-6
0	-7	23	-6
10	3	32	-11
34	38	2	-38
-15	38	18	-35
-13	-43	21	26
-36	34	32	-45
4	0	-11	13
7	43	-31	16
39	34	14	-4
-40	8	13	21
28	-19	19	-48
-5	2	13	1
7	-19	-49	8
10	56	0	0
-45	20	0	0
8	5	-19	-27
-38	27	-14	-56
-3	-16	-57	1
-2	4	-5	9
32	-44	5	-24
25	-25	13	40
31	-45	-19	56
27	0	34	-31
-56	1	23	-32
0	9	-25	-28
43	-29	-9	17
0	5	-19	2
-39	-3	11	-7
18	49	-57	4
1	59	-23	52
-1	-13	26	20
2	-23	-3	19
-18	-16	-24	-33
5	-3	33	14
3	-24	29	-10
23	18	17	26
-22	36	42	10
3	7	50	23
23	-24	42	16
29	-1	1	53
-3	-9	8	58
-9	11	27	30
-3	5	19	-6
9	8	-4	5
21	39	30	15
11	55	46	3
4	0	0	8
51	11	33	18
9	0	-29	39
-1	-13	26	1
-9	-16	2	47
4	-16	-26	33
25	-45	-17	22
-18	-35	-13	-13
27	-12	-33	-44
-49	-16	23	32
-6	16	-47	-16
2	36	16	33
-7	-19	12	9
17	47	53	12
-4	-59	22	44
-6	-11	-13	7
11	-41	24	-34
22	-4	3	-4
-16	-36	6	-5
28	-28	24	49
-18	-38	-19	27
27	28	-4	13
-15	-11	-14	19
9	5	12	-4
48	-4	26	-16
-2	0	-40	-32
-26	6	11	-5
-15	6	-47	-20
0	1	-24	48
2	10	5	3
-5	4	1	23
-35	-30	8	-42
24	53	-43	13
3	5	36	-35
0	3	23	-52
0	0	52	-25
4	0	45	-32
11	-26	-42	28
-38	33	-3	-23
-16	-49	-12	-1
-19	30	-11	-9
-8	-29	28	42
0	0	14	37
-1	1	28	-22
0	49	-38	1
13	12	7	41
5	5	4	24
-2	-11	13	5
-15	-47	30	-8
5	14	1	1
-7	21	29	7
4	2	-41	-24
-40	17	-25	-45
-5	22	-8	17
10	-24	21	0
-16	2	15	-25
-33	40	-7	-9
9	-6	-4	29
30	-50	19	0
-41	30	-11	-4
-30	15	-31	-10
-40	-31	0	-22
-10	3	16	34
22	38	-11	10
19	32	-15	-37
0	-2	-17	13
-16	-13	-2	51
-43	2	31	-29
38	37	4	-8
-8	-23	19	-25
-24	-40	4	11
-14	21	16	16
-30	7	-15	43
-6	7	-1	-16
56	0	10	-35
-7	24	21	55
12	41	-15	37
15	-6	23	-49
-20	-30	35	-16
10	33	-3	38
15	4	-8	-28
2	1	5	4
-23	-30	-8	13
1	-4	-21	-8
6	0	45	2
-3	-2	-4	49
-18	28	12	-4
20	-7	4	2
6	-35	18	9
-7	6	23	12
1	14	-18	-10
-26	19	-1	-13
1	19	-32	1
0	-39	42	-28
