4000
2	-1	-36	6
6	17	-18	14
-7	2	24	1
37	10	-5	-51
-16	-2	-23	-38
-3	-5	5	-51
-31	29	-28	-8
18	0	15	-36
-18	5	3	-35
4	30	16	0
-29	-28	-41	-18
40	-8	16	-8
-13	-4	-30	-20
0	-12	-28	-11
14	35	-7	26
-15	-1	24	45
-43	38	-45	18
-34	28	-13	14
-24	-23	0	-25
-42	36	-12	12
17	-14	-16	-53
-29	25	-10	24
0	0	-10	9
5	7	-11	-30
24	-6	-25	-4
-33	-12	33	-10
0	-8	-8	-17
2	-4	9	42
13	9	-35	20
28	-1	37	22
21	-51	1	-3
-38	11	-7	-7
27	0	6	-8
-21	-27	-8	3
3	-12	6	59
18	-43	19	-34
3	57	27	-8
40	-5	6	34
-9	52	-29	41
10	-15	29	7
-7	-4	7	-19
37	43	34	23
29	-12	15	-10
46	-17	-12	32
2	-5	-12	21
25	38	-6	-3
-10	42	0	1
-26	25	-30	9
-23	25	-17	32
-34	-48	-2	-17
13	-44	-3	2
-23	37	-2	53
33	-4	-23	36
42	31	3	-5
7	1	6	-57
22	0	-4	57
8	0	-31	-11
0	-18	-11	15
49	11	-24	-8
41	33	-37	46
42	0	-10	5
-13	54	-8	39
35	-37	-18	-10
-58	5	-18	55
-15	11	58	0
-25	53	3	-3
-53	18	7	-2
-9	4	39	13
-2	1	4	-18
-6	1	-12	22
7	-24	-13	-20
6	-3	-17	-41
48	14	-6	1
-11	16	11	51
46	31	6	9
13	-21	13	-2
8	-42	14	5
0	0	35	-13
-45	14	-10	0
-26	17	0	0
-1	-5	-7	11
36	-43	-36	-31
-7	16	28	-32
33	-41	8	55
43	32	-16	-6
21	-23	-17	-24
32	36	17	53
4	1	18	54
40	-12	29	-4
-37	-31	0	0
47	-26	8	-53
37	37	7	5
-15	-52	-53	-17
13	34	46	-10
27	-15	27	-32
28	8	56	-18
18	-39	-43	-5
-36	27	-32	34
0	1	-20	30
-15	32	3	19
-25	12	17	7
-2	3	-11	-20
-18	15	-5	8
-27	-11	-33	-19
31	-15	19	-14
33	9	-13	35
15	9	9	-19
7	9	-5	2
-30	-34	12	-7
25	28	8	-16
-7	-15	-1	40
16	-33	-30	-26
-6	4	15	-36
-47	32	-7	1
41	-28	2	18
-23	33	13	-7
2	18	-3	-10
-53	10	14	-44
-28	9	12	3
19	12	27	-45
31	-19	0	-15
-20	20	-3	4
-4	-3	-12	12
-20	-56	36	24
-3	-4	5	-14
2	28	1	8
30	-29	20	-18
-5	-7	-9	17
-24	-34	40	-1
25	-28	-4	-24
-37	-42	27	-38
59	-4	-15	-34
13	-23	-9	8
-32	31	53	-3
-20	-56	5	-41
6	-13	-9	3
-16	22	-51	-27
24	-41	-8	-9
43	-4	56	8
23	9	-4	-10
-2	9	-20	21
3	-4	-17	39
31	41	-52	13
49	-14	23	-36
-3	21	-30	47
-1	19	-37	19
2	5	32	9
9	-54	-36	32
22	8	-11	0
-22	-40	-13	-22
12	1	-42	2
-5	2	-26	14
